"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2010","Wicklow","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","73"
"Volume of Sales","2010","Wicklow","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","25"
"Volume of Sales","2010","Wicklow","New","Filings","Non-Household Buyer","All Sale Types","Number","5"
"Volume of Sales","2010","Wicklow","New","Executions","Household Buyer - All","All Sale Types","Number","236"
"Volume of Sales","2010","Wicklow","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","135"
"Volume of Sales","2010","Wicklow","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","71"
"Volume of Sales","2010","Wicklow","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","30"
"Volume of Sales","2010","Wicklow","New","Executions","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2010","Wicklow","Existing","Filings","Household Buyer - All","All Sale Types","Number","597"
"Volume of Sales","2010","Wicklow","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","257"
"Volume of Sales","2010","Wicklow","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","275"
"Volume of Sales","2010","Wicklow","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","65"
"Volume of Sales","2010","Wicklow","Existing","Filings","Non-Household Buyer","All Sale Types","Number","8"
"Volume of Sales","2010","Wicklow","Existing","Executions","Household Buyer - All","All Sale Types","Number","617"
"Volume of Sales","2010","Wicklow","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","259"
"Volume of Sales","2010","Wicklow","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","291"
"Volume of Sales","2010","Wicklow","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","67"
"Volume of Sales","2010","Wicklow","Existing","Executions","Non-Household Buyer","All Sale Types","Number","9"
"Volume of Sales","2010","Clare","New","Filings","Household Buyer - All","All Sale Types","Number","169"
"Volume of Sales","2010","Clare","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","83"
"Volume of Sales","2010","Clare","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","43"
"Volume of Sales","2010","Clare","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","43"
"Volume of Sales","2010","Clare","New","Filings","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2010","Clare","New","Executions","Household Buyer - All","All Sale Types","Number","126"
"Volume of Sales","2010","Clare","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","60"
"Volume of Sales","2010","Clare","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","31"
"Volume of Sales","2010","Clare","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","35"
"Volume of Sales","2010","Clare","New","Executions","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2010","Clare","Existing","Filings","Household Buyer - All","All Sale Types","Number","610"
"Volume of Sales","2010","Clare","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","206"
"Volume of Sales","2010","Clare","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","242"
"Volume of Sales","2010","Clare","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","162"
"Volume of Sales","2010","Clare","Existing","Filings","Non-Household Buyer","All Sale Types","Number","8"
"Volume of Sales","2010","Clare","Existing","Executions","Household Buyer - All","All Sale Types","Number","569"
"Volume of Sales","2010","Clare","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","180"
"Volume of Sales","2010","Clare","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","226"
"Volume of Sales","2010","Clare","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","163"
"Volume of Sales","2010","Clare","Existing","Executions","Non-Household Buyer","All Sale Types","Number","8"
"Volume of Sales","2010","Cork","New","Filings","Household Buyer - All","All Sale Types","Number","725"
"Volume of Sales","2010","Cork","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","369"
"Volume of Sales","2010","Cork","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","222"
"Volume of Sales","2010","Cork","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","134"
